Feature,BetweenToTotalVar
AccX_mean,0.85027367563304
AccX_std,0.214931752125064
AccX_min,0.778549603689269
AccX_max,0.857002007803378
AccX_range,0.23324064030087
AccX_rms,0.519870013306211
AccY_mean,1.10048033865779
AccY_std,0.386686520116284
AccY_min,1.09568614369862
AccY_max,1.09956068987842
AccY_range,0.391816561326193
AccY_rms,1.08825356293806
AccZ_mean,1.0371045102873
AccZ_std,0.0866988146738746
AccZ_min,0.952792080653232
AccZ_max,1.0571474666913
AccZ_range,0.0893013775684751
AccZ_rms,0.788083285275864
GyroX_mean,0.052054792022248
GyroX_std,0.0186947429267065
GyroX_min,0.0487389239424734
GyroX_max,0.0455576547530623
GyroX_range,0.0194708671065374
GyroX_rms,0.00592626539385345
GyroY_mean,0.211203356800234
GyroY_std,0.0550917588978352
GyroY_min,0.121850459712682
GyroY_max,0.206731083520153
GyroY_range,0.0562134178075704
GyroY_rms,0.0806692194607018
GyroZ_mean,0.0216615204420574
GyroZ_std,0.391391621490653
GyroZ_min,0.195702910673413
GyroZ_max,0.198400993008592
GyroZ_range,0.397366576288133
GyroZ_rms,0.336081424578977
