UserID,AccX_mean,AccX_std,AccX_min,AccX_max,AccX_range,AccX_rms,AccY_mean,AccY_std,AccY_min,AccY_max,AccY_range,AccY_rms,AccZ_mean,AccZ_std,AccZ_min,AccZ_max,AccZ_range,AccZ_rms,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_rms,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_rms,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_rms
U1,-1.11492125895131,0.0993733553305011,-1.28672223621452,-0.948022599808139,0.338699636406384,1.13341162370501,-0.5511411567915,0.0356131688605545,-0.614073581921425,-0.493668113674988,0.120405468246437,0.553534506004527,1.14425417927267,0.0689343576256408,1.0201540827918,1.25107471801795,0.230920635226155,1.15287861982792,-0.176556752034125,0.275042989178474,-0.641326032022077,0.287452063785071,0.928778095807148,0.521301102139523,-0.0517213404689281,0.284322993558895,-0.510404772040048,0.455839045919099,0.966243817959147,0.481210982498699,-0.095340714496897,0.241324520967229,-0.517186520986634,0.30720607466716,0.824392595653793,0.4292438699729
U2,-0.177993684780789,0.130466597346429,-0.397477382348254,0.0429839701629263,0.440461352511181,0.352342759056888,2.0204341269643,0.0359165759519268,1.96174203206682,2.08343117919364,0.121689147126816,2.02097183148426,-0.980038324311728,0.0806361211877605,-1.12592474893696,-0.855609485383246,0.270315263553711,0.986962789829771,-0.00660371014287973,0.304514717853264,-0.480957194625753,0.542788672138477,1.02374586676423,0.5355476881813,0.474354055135316,0.433501174674319,-0.174738105315202,1.27646098126758,1.45119908658278,0.819329588552171,0.0707340726315813,0.284688775871146,-0.395042257172523,0.558662331909066,0.953704589081589,0.663845021421264
U3,-0.893183965455221,0.135596824422364,-1.12407206959857,-0.665653665685081,0.45841840391349,0.908542386361299,1.86343186093911,0.0315421553223586,1.80973028872969,1.91721295627531,0.107482667545622,1.86390935243496,0.0283111200823776,0.0627164169416241,-0.0834743048912308,0.128429464062611,0.211903768953842,0.208237341379536,-0.21715734759309,0.285998695519766,-0.697204602323318,0.26410530292128,0.961309905244599,0.581424405982999,-0.0631253905369178,0.323000504431011,-0.585372374351609,0.501492062670695,1.0868644370223,0.756793584646938,0.123213346841361,0.260445567133559,-0.310889805292172,0.577177856955754,0.888067662247925,0.458335403610969
U4,0.0416661227063581,0.106924157792898,-0.140452690237947,0.223748848406605,0.364201538644552,0.260347912547631,-0.901814982558469,0.0463419258721607,-0.982493772251486,-0.825624915400599,0.156868856850887,0.903532915727957,0.000986112428913012,0.106963221357901,-0.190571460601275,0.16661122578196,0.357182686383235,0.236257918708951,0.103050034988167,0.347142238358549,-0.443398437026899,0.730297996226819,1.17369643325372,0.591064549053783,0.0153021795753507,0.379445564344549,-0.634081949340398,0.648098078833151,1.28218002817355,0.7714262304961,-0.07185414445651,0.360370895136217,-0.666439328251066,0.544784758066934,1.211224086318,0.775926148733095
U5,-0.221422467581884,0.152328022868548,-0.481272673988016,0.0363266823875939,0.51759935637561,0.566467981654185,-0.133073653333624,0.035531749471948,-0.19461211994722,-0.0741169058086592,0.120495214138561,0.151755469877901,0.93223684538097,0.0947720546378143,0.76162796237772,1.08386280678972,0.322234844412001,0.945618140190995,-0.0590401209891533,0.336250396777606,-0.612449987392522,0.531887754432572,1.14433774182509,0.619135736318888,0.00137603391385347,0.351017111842719,-0.594512098629138,0.601468684102151,1.19598078273129,0.620491819757978,0.0277993611930176,0.441900030494051,-0.705019125293082,0.780303961540315,1.4853230868334,0.860530022838366
U6,-0.817621855127539,0.148172120287682,-1.06869238193395,-0.568226174920032,0.500466207013923,0.833841856488613,-0.502553614407131,0.0272652719541994,-0.547819137075746,-0.455115607276939,0.0927035297988066,0.504230883327849,0.978889124346849,0.059074830072332,0.870606444327465,1.0689220427078,0.198315598380332,0.986973264617919,-0.0247773212208852,0.250979784759247,-0.426327323184652,0.417708709706965,0.844036032891617,0.521519901399268,-0.588904590018413,0.253497628446114,-1.02800494600653,-0.169993212917445,0.858011733089084,0.690238963728136,0.0885662532090378,0.443316519110648,-0.636227365285332,0.847785424420508,1.48401278970584,0.919649981074247
U7,0.524647674945054,0.178426945361906,0.223367885691134,0.825907490451987,0.602539604760852,0.60575990723351,-0.548917570165591,0.0423460077106524,-0.622452629475096,-0.477064160805977,0.145388468669119,0.551608127991561,-0.991363372297648,0.0837635438780724,-1.14188391481605,-0.858446770654769,0.283437144161285,0.998627589860587,0.150536147126846,0.381959703151331,-0.483736547426855,0.811954087966151,1.29569063539301,0.628953932301436,0.00946057600977791,0.51532148516362,-0.861979891419313,0.889187828319445,1.75116771973876,1.07722386310612,-0.193283407480581,0.356787777099455,-0.78138198280673,0.425528735998571,1.2069107188053,0.714596941236125
U8,0.557074051548359,0.156888411311988,0.291827580186102,0.820205727614021,0.528378147427918,0.629252977103211,-0.486946765286517,0.0278739637042991,-0.53433925056116,-0.439371345643579,0.0949679049175803,0.488262392978411,-1.24330103145481,0.0754235400400176,-1.37831183774229,-1.12504631451899,0.253265523223302,1.24767825013586,-0.199326018688185,0.320528102721583,-0.736043579775587,0.345267340941531,1.08131092071712,0.636154433828758,-0.120940395632532,0.337662096241136,-0.685897366530828,0.460479020841561,1.14637638737239,0.659401153276319,0.0128302910122958,0.276418686499614,-0.442325441665869,0.491706414001002,0.934031855666872,0.598701672725287
U9,0.98366929645878,0.218760826673553,0.606314884884556,1.3486627018992,0.742347817014647,1.05069173047617,-0.487840032185876,0.0515488049246948,-0.576012618547051,-0.402142610342359,0.173870008204693,0.491761349548538,-1.02300336726557,0.0811690701912987,-1.16573337452482,-0.892842080499118,0.272891294025705,1.02804896296879,0.119376303513211,0.354296879456816,-0.451766526596373,0.743508086433908,1.19527461303028,0.620488959926899,-0.267070720121394,0.494946660782546,-1.08707678996764,0.576612720128768,1.66368951009641,0.988808201815137,-0.0566345492157832,0.527801342922352,-0.89536365470328,0.864408352169267,1.75977200687255,1.04106374337457
U10,1.11949114472023,0.29229659585204,0.608332213601499,1.61498405611068,1.00665184250918,1.60737777013018,-0.271884590032062,0.152073229105848,-0.534485412406796,-0.0159357448615539,0.518549667545242,0.356452230674,1.15339112298963,0.159481058224016,0.870144659089448,1.4068287400776,0.53668408098815,1.19189583527935,0.312916702853206,0.434221973523598,-0.328997348528543,1.12003036603536,1.44902771456391,0.693905475422787,0.595712064907812,0.508632616148747,-0.286261746418832,1.44342871480867,1.7296904612275,0.915241244747536,0.096788120095935,1.43959116261559,-2.29572365111916,2.58636923174412,4.88209288286328,1.79945855589722
