Feature,BetweenOverWithin,BetweenVar,WithinVar
AccY_max,72.1684216203153,1.07446016749362,0.0148882314919735
AccY_mean,68.0463536880336,1.08801830008661,0.0159893696152293
AccY_min,45.2963580527174,1.11385051927205,0.0245902886491603
AccY_rms,30.8331497006884,0.405685038956315,0.013157430975897
AccZ_max,15.1948859439452,1.02768085512317,0.0676333378818599
AccZ_mean,12.3146453344651,1.00037004879278,0.0812341745639261
AccZ_min,5.84249318880582,0.9738951126819,0.166691698425575
AccX_max,1.96646129513098,0.750454205805561,0.381626736139536
AccZ_rms,1.9498910560069,0.136935955565756,0.0702274904764069
AccX_mean,1.57033653464229,0.622025602973434,0.39610974415438
GyroZ_range,1.19905871074785,1.45398130004376,1.21260225793024
GyroZ_std,1.15744034200036,0.126372336251302,0.109182591677163
AccX_min,1.06337522286428,0.508525024905659,0.478217861364035
AccY_range,0.981375637623741,0.0160900979674026,0.0163954528220837
AccY_std,0.957930463263012,0.00138173678865687,0.00144241867405493
